QNA,DESCUENTO,NOMBRE
20190101RL,32.24,196
20190101RL,69.98,157
20190101RL,103.74,1
20190101RL,115.7,117
20190101RL,129.9,111
20190101RL,174.13,68
20190101RL,182.36,28
20190101RL,246.95,1
20190101RL,264.59,472
20190101RL,282.25,2
20190201RL,22.44,1
20190201RL,27.94,1
20190201RL,32.24,195
20190201RL,47.29,1
20190201RL,69.98,155
20190201RL,103.74,1
20190201RL,115.7,117
20190201RL,129.9,112
20190201RL,174.13,68
20190201RL,182.36,28
20190201RL,264.59,470
20190201RL,282.25,2
20190201RL,284.6,1
20190202RL,22.44,1
20190202RL,27.94,1
20190202RL,32.24,195
20190202RL,47.29,1
20190202RL,69.98,155
20190202RL,103.74,1
20190202RL,115.7,117
20190202RL,129.9,112
20190202RL,174.13,68
20190202RL,182.36,28
20190202RL,264.59,470
20190202RL,282.25,2
20190202RL,284.6,1
20190301RL,5.37,1
20190301RL,17.18,1
20190301RL,32.24,196
20190301RL,69.98,155
20190301RL,115.7,117
20190301RL,129.9,111
20190301RL,174.13,68
20190301RL,182.36,29
20190301RL,264.59,471
20190301RL,282.25,3
20190301RL,343.18,1
20190401RL,26.87,1
20190401RL,32.24,196
20190401RL,62.98,1
20190401RL,69.98,155
20190401RL,115.7,118
20190401RL,129.9,111
20190401RL,174.13,68
20190401RL,182.36,28
20190401RL,264.59,468
20190501RL,17.18,1
20190501RL,21.49,1
20190501RL,32.24,196
20190501RL,69.98,158
20190501RL,98.67,1
20190501RL,115.7,117
20190501RL,129.9,112
20190501RL,174.13,66
20190501RL,182.36,28
20190501RL,264.59,465
20190601RL,21.49,1
20190601RL,22.44,1
20190601RL,25.79,1
20190601RL,32.24,195
20190601RL,55.98,1
20190601RL,69.98,157
20190601RL,115.7,118
20190601RL,129.9,112
20190601RL,139.3,1
20190601RL,174.13,65
20190601RL,182.36,28
20190601RL,264.59,463
20190601RL,311.08,1
20190701RL,5.85,1
20190701RL,15.26,1
20190701RL,20.74,1
20190701RL,36.41,1
20190701RL,36.63,1
20190701RL,36.65,1
20190701RL,36.67,1
20190701RL,36.71,9
20190701RL,36.76,181
20190701RL,47.5,1
20190701RL,79.4,1
20190701RL,79.64,1
20190701RL,79.78,155
20190701RL,113.43,1
20190701RL,114.1,1
20190701RL,130.68,1
20190701RL,131.13,1
20190701RL,131.44,1
20190701RL,131.91,115
20190701RL,146.9,1
20190701RL,147.58,1
20190701RL,148.1,110
20190701RL,198.52,66
20190701RL,207.87,28
20190701RL,301.62,464
20190701RL,311.68,1
20190701RL,372.65,1
20190801RL,17.54,1
20190801RL,18.66,1
20190801RL,21.92,1
20190801RL,32.89,195
20190801RL,71.38,158
20190801RL,118.02,119
20190801RL,132.5,113
20190801RL,136.17,1
20190801RL,177.61,67
20190801RL,186.0,28
20190801RL,269.88,464
20190901RL,6.58,1
20190901RL,17.54,1
20190901RL,18.63,1
20190901RL,24.12,1
20190901RL,26.31,1
20190901RL,32.89,187
20190901RL,71.38,147
20190901RL,118.02,110
20190901RL,132.5,107
20190901RL,177.61,62
20190901RL,186.0,27
20190901RL,193.63,1
20190901RL,269.88,458
20190901RL,287.89,1
20191001RL,17.54,2
20191001RL,25.21,1
20191001RL,32.89,193
20191001RL,71.38,157
20191001RL,89.96,1
20191001RL,118.02,118
20191001RL,132.5,112
20191001RL,177.61,68
20191001RL,186.0,27
20191001RL,269.88,461
20191001RL,333.99,1
20191101RL,2.19,1
20191101RL,14.25,1
20191101RL,32.89,193
20191101RL,40.45,1
20191101RL,71.38,155
20191101RL,118.02,118
20191101RL,132.5,113
20191101RL,177.61,67
20191101RL,186.0,27
20191101RL,269.88,463
20191201RL,25.21,1
20191201RL,32.89,192
20191201RL,54.72,1
20191201RL,71.38,153
20191201RL,118.02,120
20191201RL,132.5,114
20191201RL,177.61,66
20191201RL,186.0,27
20191201RL,269.88,464
20191301RL,25.21,1
20191301RL,32.89,192
20191301RL,57.0,1
20191301RL,71.38,155
20191301RL,118.02,120
20191301RL,132.5,113
20191301RL,171.69,1
20191301RL,177.61,63
20191301RL,186.0,27
20191301RL,269.88,468
20191301RL,287.89,1
20191401RL,32.89,192
20191401RL,71.38,154
20191401RL,109.87,2
20191401RL,118.02,120
20191401RL,132.5,113
20191401RL,164.66,1
20191401RL,177.61,64
20191401RL,186.0,27
20191401RL,269.88,468
20191501RL,14.25,1
20191501RL,32.89,190
20191501RL,47.36,1
20191501RL,71.38,156
20191501RL,118.02,121
20191501RL,132.5,113
20191501RL,177.61,63
20191501RL,186.0,27
20191501RL,269.88,466
20191601RL,32.89,190
20191601RL,47.58,1
20191601RL,71.38,155
20191601RL,106.57,1
20191601RL,118.02,121
20191601RL,132.5,112
20191601RL,177.61,63
20191601RL,186.0,27
20191601RL,269.88,466
20191701RL,32.89,190
20191701RL,71.38,155
20191701RL,95.17,1
20191701RL,118.02,121
20191701RL,132.5,112
20191701RL,177.61,64
20191701RL,186.0,27
20191701RL,248.65,1
20191701RL,269.88,466
20191701RL,292.69,1
20191801RL,32.89,190
20191801RL,71.38,156
20191801RL,118.02,118
20191801RL,119.25,1
20191801RL,132.5,110
20191801RL,177.61,66
20191801RL,186.0,27
20191801RL,269.88,468
20191801RL,287.89,2
20191801RL,291.49,1
20191801RL,293.89,1
20191901RL,10.96,1
20191901RL,32.89,190
20191901RL,71.38,157
20191901RL,118.02,118
20191901RL,132.5,111
20191901RL,177.61,66
20191901RL,186.0,27
20191901RL,269.88,468
20192001RL,32.89,191
20192001RL,39.75,1
20192001RL,71.38,157
20192001RL,95.87,1
20192001RL,118.02,117
20192001RL,132.5,110
20192001RL,177.61,62
20192001RL,186.0,27
20192001RL,269.88,465
20192002RL,67.77,1
20192002RL,90.22,1
20192002RL,122.25,2
20192002RL,398.41,1
