nivel_salarial,fecha_ingreso,fecha_ingreso
16.0,2008-01-01 00:00:00,91
16.0,2008-09-16 00:00:00,8
16.0,2008-10-16 00:00:00,2
16.0,2009-01-01 00:00:00,48
16.0,2009-09-01 00:00:00,1
16.0,2013-09-01 00:00:00,3
16.0,2013-09-02 00:00:00,1
16.0,2014-10-16 00:00:00,16
16.0,2015-11-09 00:00:00,4
16.0,2016-03-03 00:00:00,1
16.0,2016-09-19 00:00:00,6
16.0,2017-08-16 00:00:00,4
16.0,NO FECHA,21
18.0,2002-01-01 00:00:00,1
18.0,2002-03-01 00:00:00,1
18.0,2002-07-16 00:00:00,1
18.0,2002-11-01 00:00:00,2
18.0,2003-03-16 00:00:00,2
18.0,2004-01-01 00:00:00,2
18.0,2004-02-01 00:00:00,2
18.0,2004-02-16 00:00:00,1
18.0,2004-03-01 00:00:00,1
18.0,2004-04-01 00:00:00,1
18.0,2004-05-16 00:00:00,1
18.0,2004-06-01 00:00:00,1
18.0,2004-09-01 00:00:00,1
18.0,2004-09-16 00:00:00,1
18.0,2004-10-01 00:00:00,1
18.0,2004-12-15 00:00:00,1
18.0,2005-03-01 00:00:00,1
18.0,2005-04-01 00:00:00,2
18.0,2005-05-01 00:00:00,1
18.0,2005-06-01 00:00:00,1
18.0,2005-07-01 00:00:00,1
18.0,2005-08-01 00:00:00,1
18.0,2005-10-01 00:00:00,4
18.0,2006-01-01 00:00:00,1
18.0,2006-06-01 00:00:00,1
18.0,2006-06-16 00:00:00,1
18.0,2006-07-16 00:00:00,5
18.0,2006-08-01 00:00:00,1
18.0,2006-09-01 00:00:00,5
18.0,2006-09-16 00:00:00,2
18.0,2006-10-01 00:00:00,1
18.0,2006-10-16 00:00:00,1
18.0,2006-11-01 00:00:00,3
18.0,2006-11-16 00:00:00,1
18.0,2006-12-01 00:00:00,2
18.0,2007-03-16 00:00:00,2
18.0,2007-04-01 00:00:00,1
18.0,2007-05-01 00:00:00,3
18.0,2007-06-01 00:00:00,3
18.0,2007-06-16 00:00:00,1
18.0,2007-07-01 00:00:00,6
18.0,2007-07-16 00:00:00,2
18.0,2007-08-01 00:00:00,15
18.0,2007-08-16 00:00:00,1
18.0,2007-09-01 00:00:00,1
18.0,2007-09-16 00:00:00,8
18.0,2007-10-01 00:00:00,1
18.0,2007-12-01 00:00:00,6
18.0,2008-01-01 00:00:00,8
18.0,2008-01-16 00:00:00,3
18.0,2008-02-01 00:00:00,1
18.0,2008-08-01 00:00:00,1
18.0,2008-08-16 00:00:00,1
18.0,2008-09-01 00:00:00,2
18.0,2008-09-16 00:00:00,1
18.0,2008-10-01 00:00:00,1
18.0,2008-10-16 00:00:00,6
18.0,2008-11-01 00:00:00,2
18.0,2008-12-01 00:00:00,1
18.0,2009-01-01 00:00:00,11
18.0,2009-08-01 00:00:00,2
18.0,2010-02-01 00:00:00,1
18.0,2010-10-16 00:00:00,1
18.0,2010-12-01 00:00:00,1
18.0,2013-07-01 00:00:00,3
18.0,2013-09-01 00:00:00,1
18.0,2014-10-16 00:00:00,5
18.0,2015-10-26 00:00:00,1
18.0,2016-09-19 00:00:00,2
18.0,2016-11-01 00:00:00,1
18.0,2016-12-16 00:00:00,1
18.0,2016-12-24 00:00:00,1
18.0,2017-07-03 00:00:00,3
18.0,NO FECHA,29
20.0,2002-01-01 00:00:00,8
20.0,2002-09-01 00:00:00,1
20.0,2002-10-16 00:00:00,1
20.0,2002-11-01 00:00:00,5
20.0,2002-11-16 00:00:00,2
20.0,2003-01-01 00:00:00,2
20.0,2003-04-01 00:00:00,2
20.0,2003-06-01 00:00:00,2
20.0,2003-11-01 00:00:00,1
20.0,2004-01-01 00:00:00,1
20.0,2004-02-01 00:00:00,2
20.0,2004-03-01 00:00:00,2
20.0,2004-03-16 00:00:00,1
20.0,2004-04-01 00:00:00,1
20.0,2004-04-16 00:00:00,2
20.0,2004-06-01 00:00:00,2
20.0,2004-06-16 00:00:00,1
20.0,2004-08-01 00:00:00,1
20.0,2004-08-16 00:00:00,1
20.0,2004-09-16 00:00:00,1
20.0,2004-10-01 00:00:00,2
20.0,2004-10-16 00:00:00,6
20.0,2004-11-01 00:00:00,4
20.0,2004-11-16 00:00:00,1
20.0,2005-01-01 00:00:00,5
20.0,2005-01-16 00:00:00,1
20.0,2005-02-16 00:00:00,1
20.0,2005-03-01 00:00:00,2
20.0,2005-03-16 00:00:00,1
20.0,2005-04-01 00:00:00,1
20.0,2005-04-16 00:00:00,2
20.0,2005-05-01 00:00:00,5
20.0,2005-05-16 00:00:00,4
20.0,2005-06-01 00:00:00,2
20.0,2005-06-16 00:00:00,1
20.0,2005-07-01 00:00:00,1
20.0,2005-10-01 00:00:00,2
20.0,2006-01-01 00:00:00,1
20.0,2006-02-01 00:00:00,1
20.0,2006-02-16 00:00:00,1
20.0,2006-03-01 00:00:00,1
20.0,2006-05-16 00:00:00,5
20.0,2006-06-01 00:00:00,2
20.0,2006-08-01 00:00:00,2
20.0,2006-09-01 00:00:00,1
20.0,2006-09-16 00:00:00,4
20.0,2006-10-01 00:00:00,1
20.0,2006-11-16 00:00:00,4
20.0,2006-12-01 00:00:00,1
20.0,2007-02-15 00:00:00,1
20.0,2007-03-01 00:00:00,1
20.0,2007-06-01 00:00:00,1
20.0,2007-08-01 00:00:00,8
20.0,2007-09-01 00:00:00,1
20.0,2007-09-16 00:00:00,5
20.0,2008-06-16 00:00:00,1
20.0,2008-10-01 00:00:00,1
20.0,2008-10-16 00:00:00,1
20.0,2008-12-01 00:00:00,1
20.0,2010-10-16 00:00:00,1
20.0,2010-11-22 00:00:00,1
20.0,2017-03-01 00:00:00,1
20.0,2017-05-18 00:00:00,1
20.0,2017-09-01 00:00:00,2
20.0,NO FECHA,6
20.5,2002-01-01 00:00:00,10
20.5,2002-05-01 00:00:00,1
20.5,2002-08-01 00:00:00,2
20.5,2002-09-01 00:00:00,1
20.5,2002-11-01 00:00:00,2
20.5,2003-01-01 00:00:00,1
20.5,2003-04-01 00:00:00,1
20.5,2003-05-01 00:00:00,1
20.5,2003-05-16 00:00:00,1
20.5,2003-06-01 00:00:00,1
20.5,2003-07-01 00:00:00,1
20.5,2003-08-01 00:00:00,2
20.5,2004-01-01 00:00:00,1
20.5,2004-02-01 00:00:00,1
20.5,2004-03-01 00:00:00,1
20.5,2004-03-16 00:00:00,4
20.5,2004-05-01 00:00:00,1
20.5,2004-05-16 00:00:00,1
20.5,2004-08-01 00:00:00,1
20.5,2004-09-01 00:00:00,1
20.5,2004-09-16 00:00:00,2
20.5,2004-10-01 00:00:00,6
20.5,2004-10-16 00:00:00,2
20.5,2004-11-01 00:00:00,2
20.5,2005-03-01 00:00:00,2
20.5,2005-03-16 00:00:00,1
20.5,2005-04-01 00:00:00,1
20.5,2005-05-01 00:00:00,3
20.5,2005-05-16 00:00:00,7
20.5,2005-06-01 00:00:00,1
20.5,2005-06-16 00:00:00,1
20.5,2005-07-01 00:00:00,1
20.5,2005-08-16 00:00:00,1
20.5,2005-11-16 00:00:00,2
20.5,2005-12-16 00:00:00,1
20.5,2006-01-01 00:00:00,1
20.5,2006-03-01 00:00:00,1
20.5,2006-05-01 00:00:00,2
20.5,2006-05-16 00:00:00,1
20.5,2006-06-01 00:00:00,1
20.5,2006-07-16 00:00:00,2
20.5,2006-08-01 00:00:00,2
20.5,2006-09-16 00:00:00,2
20.5,2006-10-01 00:00:00,1
20.5,2006-10-16 00:00:00,2
20.5,2007-03-01 00:00:00,1
20.5,2007-04-01 00:00:00,4
20.5,2007-05-01 00:00:00,3
20.5,2007-06-01 00:00:00,3
20.5,2007-07-01 00:00:00,1
20.5,2007-08-01 00:00:00,8
20.5,2007-09-16 00:00:00,1
20.5,2007-10-01 00:00:00,1
20.5,2007-11-01 00:00:00,1
20.5,2007-12-01 00:00:00,1
20.5,2008-09-01 00:00:00,1
20.5,2008-10-01 00:00:00,2
20.5,2008-11-01 00:00:00,1
20.5,2008-12-01 00:00:00,1
20.5,2009-02-23 00:00:00,2
20.5,2010-02-01 00:00:00,1
20.5,2010-06-01 00:00:00,1
20.5,2010-07-01 00:00:00,1
20.5,2011-06-01 00:00:00,1
20.5,2011-10-01 00:00:00,1
20.5,2012-01-01 00:00:00,1
20.5,2013-09-01 00:00:00,1
20.5,2014-05-01 00:00:00,4
20.5,2016-10-16 00:00:00,1
20.5,NO FECHA,20
29.5,2001-08-16 00:00:00,1
29.5,2002-01-01 00:00:00,47
29.5,2002-01-16 00:00:00,21
29.5,2002-02-01 00:00:00,4
29.5,2002-03-01 00:00:00,2
29.5,2002-04-01 00:00:00,4
29.5,2002-05-01 00:00:00,2
29.5,2002-06-01 00:00:00,2
29.5,2002-07-01 00:00:00,3
29.5,2002-08-01 00:00:00,24
29.5,2002-08-16 00:00:00,3
29.5,2002-09-01 00:00:00,3
29.5,2002-10-01 00:00:00,5
29.5,2002-11-01 00:00:00,3
29.5,2002-11-16 00:00:00,1
29.5,2003-01-01 00:00:00,3
29.5,2003-02-01 00:00:00,5
29.5,2003-03-01 00:00:00,7
29.5,2003-03-16 00:00:00,15
29.5,2003-04-01 00:00:00,5
29.5,2003-04-16 00:00:00,1
29.5,2003-05-01 00:00:00,3
29.5,2003-06-01 00:00:00,6
29.5,2003-06-16 00:00:00,1
29.5,2003-07-01 00:00:00,1
29.5,2003-08-01 00:00:00,5
29.5,2003-08-16 00:00:00,14
29.5,2003-09-16 00:00:00,2
29.5,2003-10-01 00:00:00,5
29.5,2003-10-16 00:00:00,1
29.5,2003-11-01 00:00:00,2
29.5,2003-11-16 00:00:00,1
29.5,2004-01-01 00:00:00,4
29.5,2004-02-01 00:00:00,4
29.5,2004-02-16 00:00:00,1
29.5,2004-03-01 00:00:00,5
29.5,2004-03-13 00:00:00,1
29.5,2004-03-16 00:00:00,3
29.5,2004-04-01 00:00:00,10
29.5,2004-04-16 00:00:00,2
29.5,2004-05-01 00:00:00,4
29.5,2004-06-01 00:00:00,5
29.5,2004-06-16 00:00:00,3
29.5,2004-07-01 00:00:00,2
29.5,2004-08-01 00:00:00,2
29.5,2004-08-16 00:00:00,1
29.5,2004-09-01 00:00:00,52
29.5,2004-09-16 00:00:00,11
29.5,2004-10-01 00:00:00,15
29.5,2004-10-16 00:00:00,18
29.5,2004-11-01 00:00:00,5
29.5,2005-01-01 00:00:00,3
29.5,2005-02-01 00:00:00,3
29.5,2005-03-01 00:00:00,1
29.5,2005-04-01 00:00:00,45
29.5,2005-04-16 00:00:00,6
29.5,2005-05-01 00:00:00,9
29.5,2005-05-16 00:00:00,3
29.5,2005-06-01 00:00:00,4
29.5,2005-06-16 00:00:00,1
29.5,2005-07-01 00:00:00,3
29.5,2005-08-01 00:00:00,4
29.5,2005-08-16 00:00:00,14
29.5,2005-09-01 00:00:00,1
29.5,2005-10-01 00:00:00,6
29.5,2005-10-16 00:00:00,3
29.5,2005-11-01 00:00:00,1
29.5,2005-11-16 00:00:00,2
29.5,2005-12-01 00:00:00,3
29.5,2006-01-11 00:00:00,1
29.5,2006-02-01 00:00:00,1
29.5,2006-03-01 00:00:00,1
29.5,2006-03-15 00:00:00,1
29.5,2006-04-07 00:00:00,1
29.5,2006-04-16 00:00:00,13
29.5,2006-05-01 00:00:00,1
29.5,2006-05-16 00:00:00,3
29.5,2006-07-01 00:00:00,1
29.5,2006-09-16 00:00:00,53
29.5,2006-10-01 00:00:00,30
29.5,2006-10-16 00:00:00,6
29.5,2006-11-01 00:00:00,3
29.5,2006-11-16 00:00:00,1
29.5,2006-12-01 00:00:00,1
29.5,2007-01-01 00:00:00,1
29.5,2007-02-01 00:00:00,3
29.5,2007-03-01 00:00:00,1
29.5,2007-03-16 00:00:00,1
29.5,2007-04-16 00:00:00,10
29.5,2007-05-01 00:00:00,1
29.5,2007-05-16 00:00:00,1
29.5,2007-06-01 00:00:00,1
29.5,2007-07-01 00:00:00,3
29.5,2007-07-20 00:00:00,1
29.5,2007-08-01 00:00:00,11
29.5,2007-08-16 00:00:00,1
29.5,2007-09-01 00:00:00,68
29.5,2007-09-16 00:00:00,15
29.5,2007-10-01 00:00:00,19
29.5,2007-10-16 00:00:00,35
29.5,2007-11-01 00:00:00,3
29.5,2008-03-01 00:00:00,3
29.5,2008-03-16 00:00:00,1
29.5,2008-07-01 00:00:00,2
29.5,2008-08-01 00:00:00,2
29.5,2008-08-16 00:00:00,32
29.5,2008-09-01 00:00:00,31
29.5,2008-09-16 00:00:00,1
29.5,2008-10-16 00:00:00,1
29.5,2008-11-01 00:00:00,2
29.5,2008-11-16 00:00:00,1
29.5,2008-12-01 00:00:00,1
29.5,2009-02-16 00:00:00,1
29.5,2009-02-23 00:00:00,8
29.5,2009-03-16 00:00:00,2
29.5,2009-08-01 00:00:00,15
29.5,2009-09-01 00:00:00,1
29.5,2010-01-01 00:00:00,3
29.5,2010-02-01 00:00:00,17
29.5,2010-08-10 00:00:00,1
29.5,2010-10-16 00:00:00,1
29.5,2011-02-01 00:00:00,1
29.5,2012-04-01 00:00:00,1
29.5,2012-07-30 00:00:00,3
29.5,2013-01-01 00:00:00,1
29.5,2020-02-10 00:00:00,2
29.5,2020-02-17 00:00:00,3
29.5,2020-02-21 00:00:00,6
29.5,2020-02-24 00:00:00,1
29.5,2020-03-02 00:00:00,1
29.5,2020-09-30 00:00:00,1
29.5,2020-10-08 00:00:00,3
29.5,2021-03-03 00:00:00,5
29.5,2021-08-16 00:00:00,3
29.5,2021-08-23 00:00:00,5
29.5,2022-02-03 00:00:00,1
29.5,2022-02-10 00:00:00,2
29.5,NO FECHA,32
30.0,2017-01-01 00:00:00,1
85.6,2002-01-01 00:00:00,11
85.6,2002-02-01 00:00:00,1
85.6,2002-09-01 00:00:00,2
85.6,2002-11-01 00:00:00,2
85.6,2003-01-01 00:00:00,2
85.6,2003-02-01 00:00:00,1
85.6,2003-03-01 00:00:00,2
85.6,2003-04-01 00:00:00,1
85.6,2003-10-01 00:00:00,1
85.6,2004-02-01 00:00:00,1
85.6,2004-03-01 00:00:00,1
85.6,2004-04-01 00:00:00,2
85.6,2004-06-01 00:00:00,2
85.6,2004-06-16 00:00:00,1
85.6,2004-07-01 00:00:00,1
85.6,2004-08-01 00:00:00,2
85.6,2004-09-01 00:00:00,1
85.6,2004-10-01 00:00:00,3
85.6,2004-10-16 00:00:00,2
85.6,2005-02-01 00:00:00,1
85.6,2005-05-16 00:00:00,1
85.6,2005-06-01 00:00:00,1
85.6,2005-07-01 00:00:00,1
85.6,2005-10-01 00:00:00,1
85.6,2005-11-01 00:00:00,1
85.6,2005-11-16 00:00:00,1
85.6,2005-12-01 00:00:00,1
85.6,2006-03-01 00:00:00,1
85.6,2006-03-16 00:00:00,1
85.6,2006-04-16 00:00:00,1
85.6,2006-05-01 00:00:00,1
85.6,2006-05-16 00:00:00,1
85.6,2006-06-01 00:00:00,1
85.6,2006-09-01 00:00:00,1
85.6,2006-11-16 00:00:00,3
85.6,2007-02-01 00:00:00,1
85.6,2007-03-01 00:00:00,1
85.6,2007-03-02 00:00:00,1
85.6,2007-04-01 00:00:00,1
85.6,2007-08-01 00:00:00,4
85.6,2007-09-16 00:00:00,1
85.6,2007-10-01 00:00:00,1
85.6,2008-02-01 00:00:00,1
85.6,2008-10-16 00:00:00,1
85.6,2008-11-16 00:00:00,1
85.6,2010-06-21 00:00:00,1
85.6,2010-11-01 00:00:00,1
85.6,2012-01-01 00:00:00,1
85.6,2012-04-16 00:00:00,1
85.6,2014-09-01 00:00:00,1
85.6,NO FECHA,13
85.7,2002-01-01 00:00:00,2
85.7,2002-02-01 00:00:00,1
85.7,2002-05-16 00:00:00,1
85.7,2002-11-01 00:00:00,1
85.7,2002-11-16 00:00:00,1
85.7,2003-03-01 00:00:00,1
85.7,2003-10-16 00:00:00,1
85.7,2003-11-16 00:00:00,1
85.7,2004-02-01 00:00:00,2
85.7,2004-03-01 00:00:00,1
85.7,2004-03-16 00:00:00,1
85.7,2004-06-01 00:00:00,1
85.7,2004-06-16 00:00:00,1
85.7,2004-08-16 00:00:00,1
85.7,2004-10-16 00:00:00,1
85.7,2005-01-01 00:00:00,2
85.7,2005-02-16 00:00:00,1
85.7,2005-04-01 00:00:00,1
85.7,2005-05-01 00:00:00,1
85.7,2005-06-01 00:00:00,1
85.7,2005-06-16 00:00:00,1
85.7,2005-07-01 00:00:00,1
85.7,2006-05-01 00:00:00,1
85.7,2007-05-01 00:00:00,1
85.7,2007-08-01 00:00:00,3
85.7,2010-11-01 00:00:00,1
85.7,2012-07-01 00:00:00,1
85.7,NO FECHA,4
